日期,成交商品件数
2019-03-08,46410
2019-03-09,48430
2019-03-10,38470
2019-03-11,40008
2019-03-12,42165
2019-03-13,43306
2019-03-14,55008
2019-03-15,59851
2019-03-16,38769
2019-03-17,36195
2019-03-18,31032
2019-03-19,38844
2019-03-20,41004
2019-03-21,53697
2019-03-22,63300
2019-03-23,65713
2019-03-24,69815
2019-03-25,57208
2019-03-26,59929
2019-03-27,63252
2019-03-28,63169
2019-03-29,45874
2019-03-30,50237
2019-03-31,43191
2019-04-01,45327
2019-04-02,51206
2019-04-03,44552
2019-04-04,53590
2019-04-05,50762
2019-04-06,42125
2019-04-07,25860
2019-04-08,39206
2019-04-09,53804
2019-04-10,43635
2019-04-11,47320
2019-04-12,54075
2019-04-13,47389
2019-04-14,45090
2019-04-15,47921
2019-04-16,66612
2019-04-17,78570
2019-04-18,71428
2019-04-19,54532
2019-04-20,44925
2019-04-21,47232
2019-04-22,71870
2019-04-23,78937
2019-04-24,53570
2019-04-25,64676
2019-04-26,60674
2019-04-27,70164
2019-04-28,95966
2019-04-29,54947
2019-04-30,38033
2019-05-01,42129
2019-05-02,35707
2019-05-03,37444
2019-05-04,37131
2019-05-05,39671
2019-05-06,71643
2019-05-07,83607
2019-05-08,54222
2019-05-09,31564
2019-05-10,32092
2019-05-11,34490
2019-05-12,34413
2019-05-13,34634
2019-05-14,30879
2019-05-15,29745
2019-05-16,64951
2019-05-17,68243
2019-05-18,54506
2019-05-19,35130
2019-05-20,44294
2019-05-21,39904
2019-05-22,26587
2019-05-23,22535
2019-05-24,19479
2019-05-25,41614
2019-05-26,22602
2019-05-27,29680
2019-05-28,43027
2019-05-29,33936
2019-05-30,28540
2019-05-31,25013
2019-06-01,64101
2019-06-02,54678
2019-06-03,32233
2019-06-04,35941
2019-06-05,40117
2019-06-06,31139
2019-06-07,31694
2019-06-08,36928
2019-06-09,22604
2019-06-10,32625
2019-06-11,41091
2019-06-12,48130
2019-06-13,101533
2019-06-14,57359
2019-06-15,40230
2019-06-16,139005
2019-06-17,130772
2019-06-18,373722
2019-06-19,80458
2019-06-20,40955
2019-06-21,31450
2019-06-22,28220
2019-06-23,23818
2019-06-24,28714
2019-06-25,24656
2019-06-26,27289
2019-06-27,28844
2019-06-28,20324
2019-06-29,27988
2019-06-30,29448
2019-07-01,39569
2019-07-02,31563
2019-07-03,45050
2019-07-04,49294
2019-07-05,41886
2019-07-06,26617
2019-07-07,27771
2019-07-08,49845
2019-07-09,35866
2019-07-10,60334
2019-07-11,92626
2019-07-12,28813
2019-07-13,28894
2019-07-14,28156
2019-07-15,45586
2019-07-16,53282
2019-07-17,42416
2019-07-18,41154
2019-07-19,25735
2019-07-20,26397
2019-07-21,26833
2019-07-22,27523
2019-07-23,24849
2019-07-24,25006
2019-07-25,34634
2019-07-26,48257
2019-07-27,45641
2019-07-28,62059
2019-07-29,60692
2019-07-30,44044
2019-07-31,40814
2019-08-01,26011
2019-08-02,31202
2019-08-03,39717
2019-08-04,38033
2019-08-05,62075
2019-08-06,42151
2019-08-07,42055
2019-08-08,64834
2019-08-09,72053
2019-08-10,59372
2019-08-11,67191
2019-08-12,46375
2019-08-13,45081
2019-08-14,34192
2019-08-15,32611
2019-08-16,39702
2019-08-17,36423
2019-08-18,79349
2019-08-19,63780
2019-08-20,65425
2019-08-21,50158
2019-08-22,44560
2019-08-23,40624
2019-08-24,51036
2019-08-25,61881
2019-08-26,53151
2019-08-27,56609
2019-08-28,127338
2019-08-29,100684
2019-08-30,66777
2019-08-31,53340
2019-09-01,44379
2019-09-02,51265
2019-09-03,76506
2019-09-04,118300
2019-09-05,108144
2019-09-06,106722
2019-09-07,103711
2019-09-08,90816
2019-09-09,202174
2019-09-10,132359
2019-09-11,81919
2019-09-12,60704
2019-09-13,68890
2019-09-14,56540
2019-09-15,39532
2019-09-16,50545
2019-09-17,55202
2019-09-18,62583
2019-09-19,51986
2019-09-20,67123
2019-09-21,80918
2019-09-22,74700
2019-09-23,69221
2019-09-24,47340
2019-09-25,60136
2019-09-26,47934
2019-09-27,49884
2019-09-28,48035
2019-09-29,61365
2019-09-30,54419
2019-10-01,39337
2019-10-02,38070
2019-10-03,48964
2019-10-04,50209
2019-10-05,60524
2019-10-06,53735
2019-10-07,54094
2019-10-08,70369
2019-10-09,75563
2019-10-10,91336
2019-10-11,82624
2019-10-12,68450
2019-10-13,76849
2019-10-14,66370
2019-10-15,93039
2019-10-16,60956
2019-10-17,78284
2019-10-18,47459
2019-10-19,57847
2019-10-20,51897
2019-10-21,61348
2019-10-22,86243
2019-10-23,82983
2019-10-24,83881
2019-10-25,60937
2019-10-26,71452
2019-10-27,71710
2019-10-28,98679
2019-10-29,84250
2019-10-30,53896
2019-10-31,45195
2019-11-01,113152
2019-11-02,107105
2019-11-03,99108
2019-11-04,98410
2019-11-05,106569
2019-11-06,126042
2019-11-07,130716
2019-11-08,153400
2019-11-09,151503
2019-11-10,252733
2019-11-11,624090
2019-11-12,141983
2019-11-13,109548
2019-11-14,96757
2019-11-15,90313
2019-11-16,62388
2019-11-17,62556
2019-11-18,84979
2019-11-19,80004
2019-11-20,51740
2019-11-21,45516
2019-11-22,45670
2019-11-23,60691
2019-11-24,89033
2019-11-25,68937
2019-11-26,69587
2019-11-27,71514
2019-11-28,128955
2019-11-29,97845
2019-11-30,88669
2019-12-01,57226
2019-12-02,111116
2019-12-03,75459
2019-12-04,94438
2019-12-05,106611
2019-12-06,74572
2019-12-07,56884
2019-12-08,46248
2019-12-09,56402
2019-12-10,54348
2019-12-11,97087
2019-12-12,277750
2019-12-13,53943
2019-12-14,44371
2019-12-15,49286
2019-12-16,41450
2019-12-17,71237
2019-12-18,53989
2019-12-19,46187
2019-12-20,40311
2019-12-21,45298
2019-12-22,44286
2019-12-23,53722
2019-12-24,71917
2019-12-25,73992
2019-12-26,93777
2019-12-27,96146
2019-12-28,61824
2019-12-29,96990
2019-12-30,90986
2019-12-31,103423
2020-01-01,139312
2020-01-02,144309
2020-01-03,134105
2020-01-04,178551
2020-01-05,158771
2020-01-06,194166
2020-01-07,204369
2020-01-08,233994
2020-01-09,203570
2020-01-10,146762
2020-01-11,783855
2020-01-12,281644
2020-01-13,277735
2020-01-14,214409
2020-01-15,192071
2020-01-16,225794
2020-01-17,245912
2020-01-18,204781
2020-01-19,150293
2020-01-20,137213
2020-01-21,113715
2020-01-22,72857
2020-01-23,41123
2020-01-24,23755
2020-01-25,36996
2020-01-26,49173
2020-01-27,57574
2020-01-28,56089
2020-01-29,52112
2020-01-30,63031
2020-01-31,70324
2020-02-01,86199
2020-02-02,78518
2020-02-03,67490
2020-02-04,69372
2020-02-05,76616
2020-02-06,77885
2020-02-07,77497
2020-02-08,88481
2020-02-09,74249
2020-02-10,62877
2020-02-11,67451
2020-02-12,46795
2020-02-13,47715
2020-02-14,83007
2020-02-15,83709
2020-02-16,71436
2020-02-17,80925
2020-02-18,83509
2020-02-19,48631
2020-02-20,45308
2020-02-21,31228
2020-02-22,43409
2020-02-23,43325
2020-02-24,59129
2020-02-25,51443
2020-02-26,41948
2020-02-27,44328
2020-02-28,55368
2020-02-29,67311
2020-03-01,49033
2020-03-02,59086
2020-03-03,51117
2020-03-04,51709
2020-03-05,45810
2020-03-06,47968
2020-03-07,49129
2020-03-08,59550
2020-03-09,55652
2020-03-10,53634
2020-03-11,78251
2020-03-12,82466
2020-03-13,85939
2020-03-14,70665
2020-03-15,67498
2020-03-16,55222
2020-03-17,87363
2020-03-18,82578
2020-03-19,97059
2020-03-20,83315
2020-03-21,102788
2020-03-22,108286
2020-03-23,51285
2020-03-24,76396
2020-03-25,95182
2020-03-26,94989
2020-03-27,66712
2020-03-28,62671
2020-03-29,95462
2020-03-30,78732
2020-03-31,74025
2020-04-01,69492
2020-04-02,56069
2020-04-03,45614
2020-04-04,76894
2020-04-05,64537
2020-04-06,57173
2020-04-07,47106
2020-04-08,55956
2020-04-09,38021
2020-04-10,49544
2020-04-11,48679
2020-04-12,43253
2020-04-13,47993
2020-04-14,42905
2020-04-15,61860
2020-04-16,44037
2020-04-17,42716
2020-04-18,48293
2020-04-19,35462
2020-04-20,56485
2020-04-21,66824
2020-04-22,67561
2020-04-23,45223
2020-04-24,48701
2020-04-25,108507
2020-04-26,152388
2020-04-27,126484
2020-04-28,81778
2020-04-29,51402
2020-04-30,67051
2020-05-01,49259
2020-05-02,30108
2020-05-03,39853
2020-05-04,43165
2020-05-05,56461
2020-05-06,35337
2020-05-07,46629
2020-05-08,55054
2020-05-09,45328
2020-05-10,48288
2020-05-11,35982
2020-05-12,26916
2020-05-13,39990
2020-05-14,29468
2020-05-15,70109
2020-05-16,46045
2020-05-17,92456
2020-05-18,62479
2020-05-19,56925
2020-05-20,36973
2020-05-21,108423
2020-05-22,41946
2020-05-23,30518
2020-05-24,29835
2020-05-25,40563
2020-05-26,46501
2020-05-27,27279
2020-05-28,28366
2020-05-29,53386
2020-05-30,50261
2020-05-31,74112
2020-06-01,147113
2020-06-02,116970
2020-06-03,83240
2020-06-04,27921
2020-06-05,43120
2020-06-06,38513
2020-06-07,28602
2020-06-08,31283
2020-06-09,40870
2020-06-10,30220
2020-06-11,28830
2020-06-12,28126
2020-06-13,31652
2020-06-14,31842
2020-06-15,22097
2020-06-16,76584
2020-06-17,103471
2020-06-18,351625
2020-06-19,81789
2020-06-20,44097
2020-06-21,47016
2020-06-22,26330
2020-06-23,28278
2020-06-24,32023
2020-06-25,35067
2020-06-26,29292
2020-06-27,32986
2020-06-28,36381
2020-06-29,41150
2020-06-30,69598
2020-07-01,67337
2020-07-02,55604
2020-07-03,52600
2020-07-04,37927
2020-07-05,34938
2020-07-06,108752
2020-07-07,149456
2020-07-08,36497
2020-07-09,48439
2020-07-10,86849
2020-07-11,107684
2020-07-12,30568
2020-07-13,30454
2020-07-14,28119
2020-07-15,34394
2020-07-16,49226
2020-07-17,52032
2020-07-18,36582
2020-07-19,44331
2020-07-20,28730
2020-07-21,134127
2020-07-22,75577
2020-07-23,30295
2020-07-24,36345
2020-07-25,43498
2020-07-26,44574
2020-07-27,47056
2020-07-28,63744
2020-07-29,42757
2020-07-30,52584
2020-07-31,64214
2020-08-01,34480
2020-08-02,40161
2020-08-03,28598
2020-08-04,36104
2020-08-05,47734
2020-08-06,68554
2020-08-07,58311
2020-08-08,84797
2020-08-09,56757
2020-08-10,63344
2020-08-11,91347
2020-08-12,52580
2020-08-13,74149
2020-08-14,36825
2020-08-15,58506
2020-08-16,65579
2020-08-17,105098
2020-08-18,88642
2020-08-19,130611
2020-08-20,99173
2020-08-21,51979
2020-08-22,76710
2020-08-23,85023
2020-08-24,74005
2020-08-25,47955
2020-08-26,49799
2020-08-27,65400
2020-08-28,63124
2020-08-29,61112
2020-08-30,67839
2020-08-31,57944
2020-09-01,52188
2020-09-02,44504
2020-09-03,51777
2020-09-04,118863
2020-09-05,72438
2020-09-06,52709
2020-09-07,80088
2020-09-08,113188
2020-09-09,103193
2020-09-10,61089
2020-09-11,62718
2020-09-12,65451
2020-09-13,77775
2020-09-14,67492
2020-09-15,124968
2020-09-16,69951
2020-09-17,113705
2020-09-18,78518
2020-09-19,68816
2020-09-20,72656
2020-09-21,78824
2020-09-22,72587
2020-09-23,243543
2020-09-24,132020
2020-09-25,183543
2020-09-26,105044
2020-09-27,82980
2020-09-28,104323
2020-09-29,69954
2020-09-30,89284
2020-10-01,54561
2020-10-02,32713
2020-10-03,30384
2020-10-04,32659
2020-10-05,36224
2020-10-06,34713
2020-10-07,46532
2020-10-08,41981
2020-10-09,83256
2020-10-10,60969
2020-10-11,39665
2020-10-12,41663
2020-10-13,59289
2020-10-14,97926
2020-10-15,89240
2020-10-16,79627
2020-10-17,54841
2020-10-18,118865
2020-10-19,170512
2020-10-20,87104
2020-10-21,79874
2020-10-22,121323
2020-10-23,183182
2020-10-24,74780
2020-10-25,57906
2020-10-26,95606
2020-10-27,85208
2020-10-28,73503
2020-10-29,126690
2020-10-30,53963
2020-10-31,54225
2020-11-01,145991
2020-11-02,133239
2020-11-03,156975
2020-11-04,71321
2020-11-05,125709
2020-11-06,145903
2020-11-07,119444
2020-11-08,219870
2020-11-09,479098
2020-11-10,237941
2020-11-11,596714
2020-11-12,151872
2020-11-13,111732
2020-11-14,62754
2020-11-15,66522
2020-11-16,97253
2020-11-17,80921
2020-11-18,136665
2020-11-19,167141
2020-11-20,175986
2020-11-21,99293
2020-11-22,62059
2020-11-23,59740
2020-11-24,240727
2020-11-25,170020
2020-11-26,82585
2020-11-27,50010
2020-11-28,70932
2020-11-29,51394
2020-11-30,64801
2020-12-01,231128
2020-12-02,133337
2020-12-03,105664
2020-12-04,91134
2020-12-05,82339
2020-12-06,113133
2020-12-07,123864
2020-12-08,183467
2020-12-09,140224
2020-12-10,183120
2020-12-11,179131
2020-12-12,356304
2020-12-13,83128
2020-12-14,72918
2020-12-15,79352
2020-12-16,102448
2020-12-17,64277
2020-12-18,80009
2020-12-19,47311
2020-12-20,56588
2020-12-21,55524
2020-12-22,197246
2020-12-23,181369
2020-12-24,117644
2020-12-25,102096
2020-12-26,136857
2020-12-27,107150
2020-12-28,108084
2020-12-29,626969
2020-12-30,136432
2020-12-31,100440
2021-01-01,60327
2021-01-02,57801
2021-01-03,59302
2021-01-04,50432
2021-01-05,92766
2021-01-06,101614
2021-01-07,89901
2021-01-08,102075
2021-01-09,179389
2021-01-10,117966
2021-01-11,224923
2021-01-12,196333
2021-01-13,126137
2021-01-14,110266
2021-01-15,155484
2021-01-16,100830
2021-01-17,92849
2021-01-18,123452
2021-01-19,106427
2021-01-20,220373
2021-01-21,131519
2021-01-22,116932
2021-01-23,128941
2021-01-24,588207
2021-01-25,152544
2021-01-26,133988
2021-01-27,380077
2021-01-28,164767
2021-01-29,958449
2021-01-30,250271
2021-01-31,258750
2021-02-01,290943
2021-02-02,289315
2021-02-03,263625
2021-02-04,302085
2021-02-05,228019
2021-02-06,214437
2021-02-07,189387
2021-02-08,207112
2021-02-09,153266
2021-02-10,87133
2021-02-11,19569
2021-02-12,16337
2021-02-13,19200
2021-02-14,21195
2021-02-15,24239
2021-02-16,27304
2021-02-17,30523
2021-02-18,53111
2021-02-19,58426
2021-02-20,58876
2021-02-21,46045
2021-02-22,54757
2021-02-23,60563
2021-02-24,59014
2021-02-25,64064
2021-02-26,56192
2021-02-27,53837
2021-02-28,68653
2021-03-01,66504
2021-03-02,82243
2021-03-03,38771
2021-03-04,50517
2021-03-05,75460
2021-03-06,63356
2021-03-07,59097
2021-03-08,101873
2021-03-09,50610
2021-03-10,51433
2021-03-11,48104
2021-03-12,74208
2021-03-13,29702
2021-03-14,30582
2021-03-15,53647
2021-03-16,54979
2021-03-17,52095
2021-03-18,48384
2021-03-19,105539
2021-03-20,88557
2021-03-21,51443
2021-03-22,57418
2021-03-23,64552
2021-03-24,70442
2021-03-25,57917
2021-03-26,55100
2021-03-27,48157
2021-03-28,45566
2021-03-29,121328
2021-03-30,69380
2021-03-31,79287
2021-04-01,63527
2021-04-02,67738
2021-04-03,38616
2021-04-04,38150
2021-04-05,43642
2021-04-06,45487
2021-04-07,50770
2021-04-08,46608
2021-04-09,56898
2021-04-10,45000
2021-04-11,48701
2021-04-12,55582
2021-04-13,75595
2021-04-14,39307
2021-04-15,88787
2021-04-16,64782
2021-04-17,46297
2021-04-18,45072
2021-04-19,45553
2021-04-20,58550
2021-04-21,97839
2021-04-22,80564
2021-04-23,50227
2021-04-24,41629
2021-04-25,46372
2021-04-26,46066
2021-04-27,46780
2021-04-28,41743
2021-04-29,81900
2021-04-30,73930
2021-05-01,56611
2021-05-02,22804
2021-05-03,23328
2021-05-04,32301
2021-05-05,27237
2021-05-06,34363
2021-05-07,57596
2021-05-08,49230
2021-05-09,46311
2021-05-10,54204
2021-05-11,30527
2021-05-12,33379
2021-05-13,27036
2021-05-14,55877
2021-05-15,46034
2021-05-16,37194
2021-05-17,93879
2021-05-18,34595
2021-05-19,53005
2021-05-20,42801
2021-05-21,24843
2021-05-22,23764
2021-05-23,33563
2021-05-24,43467
2021-05-25,72519
2021-05-26,50403
2021-05-27,36024
2021-05-28,31907
2021-05-29,30315
2021-05-30,33886
2021-05-31,33614
2021-06-01,166953
2021-06-02,88571
2021-06-03,137271
2021-06-04,27974
2021-06-05,26268
2021-06-06,22839
2021-06-07,33810
2021-06-08,52423
2021-06-09,30382
2021-06-10,227311
2021-06-11,38351
2021-06-12,28106
2021-06-13,24820
2021-06-14,19055
2021-06-15,20654
2021-06-16,93491
2021-06-17,93063
2021-06-18,225572
2021-06-19,56126
2021-06-20,38105
2021-06-21,23551
2021-06-22,26793
2021-06-23,22803
2021-06-24,24247
2021-06-25,49700
2021-06-26,23637
2021-06-27,23123
2021-06-28,25804
2021-06-29,22848
2021-06-30,24607
2021-07-01,35836
2021-07-02,37992
2021-07-03,22810
2021-07-04,20987
2021-07-05,23947
2021-07-06,29616
2021-07-07,32761
2021-07-08,49207
2021-07-09,36383
2021-07-10,29782
2021-07-11,31284
2021-07-12,28776
2021-07-13,34193
2021-07-14,31266
2021-07-15,41295
2021-07-16,24461
2021-07-17,29117
2021-07-18,30335
2021-07-19,45241
2021-07-20,50756
2021-07-21,52213
2021-07-22,59458
2021-07-23,56293
2021-07-24,61998
2021-07-25,59388
2021-07-26,44114
2021-07-27,52031
2021-07-28,62767
2021-07-29,65822
2021-07-30,51662
2021-07-31,55573
2021-08-01,57829
2021-08-02,69685
2021-08-03,46211
2021-08-04,34383
2021-08-05,38942
2021-08-06,38445
2021-08-07,40201
2021-08-08,48756
2021-08-09,43941
2021-08-10,44100
2021-08-11,50105
2021-08-12,70218
2021-08-13,79357
2021-08-14,70936
2021-08-15,53135
2021-08-16,57033
2021-08-17,50009
2021-08-18,119205
2021-08-19,48173
2021-08-20,45699
2021-08-21,33037
2021-08-22,30606
2021-08-23,32205
2021-08-24,37744
2021-08-25,57176
2021-08-26,53129
2021-08-27,40059
2021-08-28,38929
2021-08-29,55043
2021-08-30,62341
2021-08-31,55493
2021-09-01,63260
2021-09-02,62742
2021-09-03,79784
2021-09-04,71437
2021-09-05,61952
2021-09-06,73608
2021-09-07,85037
2021-09-08,74427
2021-09-09,338136
2021-09-10,88877
2021-09-11,38458
2021-09-12,32626
2021-09-13,50408
2021-09-14,75765
2021-09-15,63613
2021-09-16,51922
2021-09-17,53445
2021-09-18,55743
2021-09-19,44183
2021-09-20,32090
2021-09-21,22580
2021-09-22,30247
2021-09-23,28958
2021-09-24,25784
2021-09-25,33624
2021-09-26,33396
2021-09-27,39656
2021-09-28,42081
2021-09-29,53289
2021-09-30,33689
2021-10-01,33948
2021-10-02,38158
2021-10-03,33464
2021-10-04,39303
2021-10-05,33353
2021-10-06,50418
2021-10-07,44598
2021-10-08,52945
2021-10-09,53579
2021-10-10,48643
2021-10-11,42912
2021-10-12,36383
2021-10-13,58453
2021-10-14,51159
2021-10-15,49629
2021-10-16,37468
2021-10-17,32932
2021-10-18,48492
2021-10-19,41618
2021-10-20,64813
2021-10-21,59139
2021-10-22,55816
2021-10-23,39326
2021-10-24,45452
2021-10-25,65103
2021-10-26,73600
2021-10-27,70933
2021-10-28,61350
2021-10-29,50947
2021-10-30,49439
2021-10-31,166430
2021-11-01,158939
2021-11-02,122303
2021-11-03,157298
2021-11-04,75303
2021-11-05,52268
